submission_id,result,filename,filepath,hash,file_size
2025082622232400103860,4,2025082622232400103860_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082622232400103860_4_front.jpg,e521867944cf38498dc0b026a81b4062,1700742
2025082211483600102403,4,2025082211483600102403_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082211483600102403_4_front.jpg,5f55a758a6f941359bc57e558b586529,2427517
2025082814522100108857,5,2025082814522100108857_5_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082814522100108857_5_front.jpg,0c219ceb729ebbe310ca024ad9056be6,2619835
2025082302522200104701,4,2025082302522200104701_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082302522200104701_4_front.jpg,856dd2a9b9c0f5cb07383b0c0472d801,1421271
2025082218373300107117,4,2025082218373300107117_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082218373300107117_4_front.jpg,87cdb9d466b21cb044658322bd93908b,1725815
2025082211023900102737,4,2025082211023900102737_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082211023900102737_4_front.jpg,a4a8f2d7a199e92bbfcfd76c6335f83c,997742
2025082502380200104907,4,2025082502380200104907_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082502380200104907_4_front.jpg,70a8ed0e4ec4ac0e05e2474224f0d3b3,2015399
2025082213530000104307,5,2025082213530000104307_5_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082213530000104307_5_front.jpg,ad7e17a3974cce1a02c7e4cee20dc384,198449
2025082210122500100011,4,2025082210122500100011_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082210122500100011_4_front.jpg,9c107454b2ea2fd235dc2ec6f83adf09,239267
2025082308080400102745,4,2025082308080400102745_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082308080400102745_4_front.jpg,9885295a2eec53384757bf27f706dd79,2822786
2025082313312200106029,4,2025082313312200106029_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082313312200106029_4_front.jpg,aa06788e2cbcea9a3526015bbc46ccec,480005
2025082300573900107169,4,2025082300573900107169_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082300573900107169_4_front.jpg,3166ee5f14a2f49ef02707ea4f2e42b4,168064
2025082505465300109372,4,2025082505465300109372_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082505465300109372_4_front.jpg,83bdf047a2dd0938c67f93f8051c3c40,3626236
2025082208210200104962,5,2025082208210200104962_5_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082208210200104962_5_front.jpg,5a1094a6f8e7d43e055fd829a8f570fb,6747679
2025082212272100109809,4,2025082212272100109809_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082212272100109809_4_front.jpg,6decb1825e4590afc361fb5f2a357795,2095061
2025082210444700108766,4,2025082210444700108766_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082210444700108766_4_front.jpg,ebf915412e7990ad4a9a3ad3af20692a,1951194
2025082215092300105682,4,2025082215092300105682_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082215092300105682_4_front.jpg,88ee81bf4dadfb93df5e96d1e364df12,3226922
2025082215173400107004,4,2025082215173400107004_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082215173400107004_4_front.jpg,85a3372a304c86e4594e04725f393b0d,83935
2025082209280300103679,4,2025082209280300103679_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082209280300103679_4_front.jpg,f8b05b6f87492373296b7bc3440f8791,2205128
2025082410010900102332,4,2025082410010900102332_4_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082410010900102332_4_front.jpg,24fe3c76042bcae4ee52fac534f320d7,2373712
2025082310183800105021,5,2025082310183800105021_5_front.jpg,/Users/sky/WorkProject/Knob/download_images/front/2025082310183800105021_5_front.jpg,85bbef3af072c06f897f908d7d02da0f,14604
